GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.exceptions,NotFoundException,4,0,0,0,2,0,1,0,1,0
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.exceptions,DateValidationException,0,4,0,0,0,2,0,1,0,1
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.exceptions,ExistsException,0,4,0,0,0,2,0,1,0,1
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.exceptions,MSException,9,4,0,0,4,2,2,1,2,1
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.rest,AccountController,100,13,8,0,23,5,7,2,3,2
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.rest,PollOptionController,226,16,6,0,39,6,7,2,4,2
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.rest,AdminController,166,13,0,0,35,5,5,2,5,2
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.rest,DefaultPageController,2,3,0,0,1,1,1,1,1,1
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.rest,EventController,977,19,50,0,177,7,40,2,15,2
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.rest,UserController,99,10,0,0,20,4,3,2,3,2
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.rest,LoginController,69,10,0,0,12,4,1,2,1,2
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms,MeetingSchedulerApplication,5,3,0,0,2,1,1,1,1,1
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.security.model,AccountDetails,79,0,0,0,26,0,12,0,12,0
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.security.model,LoginStatus,46,0,0,0,20,0,10,0,10,0
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.security.model,AuthenticationToken,20,0,0,0,7,0,3,0,3,0
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.service,VoteService,125,12,10,0,31,5,9,1,4,1
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.service,AccountService,5,73,1,3,1,21,1,6,0,5
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.service,EventService,535,202,70,20,129,50,52,11,11,7
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.service,LoginService,34,9,2,0,8,4,2,1,1,1
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.service,SystemInitializer,0,61,0,2,0,19,0,6,0,5
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.service,AdminService,51,30,1,3,13,8,3,4,2,3
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.service,PollOptionService,199,74,25,5,46,20,19,5,5,4
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.service,UserService,173,14,20,0,39,5,16,1,6,1
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.service,DefaultEmailService,38,3,0,0,12,1,2,1,2,1
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.security,AuthenticationFailure,22,10,0,0,4,4,1,2,1,2
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.security,AuthenticationSuccess,60,10,6,0,14,4,6,2,3,2
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.security,SessionTimeoutManager,9,0,0,0,4,0,3,0,3,0
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.security,DefaultAuthenticationProvider,48,13,8,0,10,5,6,2,2,2
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.security,SecurityUtils,65,0,8,0,16,0,10,0,6,0
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.security,SecurityConstants,6,0,0,0,2,0,1,0,1,0
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.security.service,AccountDetailsService,31,9,4,0,8,4,4,1,2,1
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.config,PersistenceConfig,0,32,0,0,0,8,0,3,0,3
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.config,AppConfig.new WebMvcConfigurer() {...},0,32,0,0,0,3,0,2,0,2
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.config,SecurityConfig,0,97,0,0,0,24,0,5,0,5
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.config,AppConfig,0,81,0,0,0,21,0,7,0,7
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.model,PollOption,56,43,2,0,7,14,6,8,5,8
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.model,AbstractEntity,4,6,0,0,2,2,1,2,1,2
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.model,Event,122,43,6,0,24,9,8,12,5,12
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.model,Admin,14,6,0,0,6,3,2,1,2,1
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.model,Account,22,31,0,0,8,10,4,7,4,7
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.model,Vote,27,25,0,0,5,9,7,4,7,4
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.model,VoteType,3,32,0,0,1,5,1,2,1,2
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.model,Role,3,32,0,0,1,5,1,2,1,2
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.model,User,124,38,6,0,22,9,8,10,5,10
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.dao,AdminDao,0,4,0,0,0,2,0,1,0,1
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.dao,PollOptionDao,3,34,0,0,2,10,0,3,0,3
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.dao,AccountDao,0,20,0,0,0,6,0,2,0,2
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.dao,BaseDao,83,33,8,0,24,11,8,4,4,4
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.dao,VoteDao,0,4,0,0,0,2,0,1,0,1
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.dao,EventDao,6,44,0,4,4,11,0,5,0,3
ear-semestral-meeting-scheduler,cz.cvut.kbss.ear.ms.dao,UserDao,6,70,1,5,4,17,1,5,0,3
